ds_sigla	no_titulo	nu_indice_h	no_estrato
AAAI	Conference on Artificial Intelligence	49	A1
AAMAS	International Conference on Autonomous Agents and Multiagent Systems	39	A1
ACL	Annual Meeting of the Association for Computational Linguistics	70	A1
ACM-SIGSPATIAL	International Conference on Advances in Geographic Information Systems	27	A1
ALLERTON	Allerton Conference on Communication, Control, and Computing	36	A1
ASE	IEEE/ACM International Conference on Automated Software Engineering	31	A1
ASIACCS	ACM Symposium on Information, Computer and Communications Security	31	A1
ASIACRYPT	Annual International Conference on the Theory and Applications of Cryptology and Information Security	36	A1
ASPLOS	International Conference on Architectural Support for Programming Languages and Operating Systems	49	A1
BMVC	British Machine Vision Conference	41	A1
CCGRID	IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing	34	A1
CEC	IEEE Congress on Evolutionary Computation	51	A1
CHES	Conference on Cryptographic Hardware and Embedded Systems	33	A1
CHI	ACM Conference on Human Factors in Computing Systems	83	A1
CIKM	ACM International Conference on Information and Knowledge Management	42	A1
CloudCom	IEEE International Conference on Cloud Computing Technology and Science	31	A1
CONEXT	Conference on Emerging Network Experiment and Technology	34	A1
CSCW	ACM Conference on Computer Supported Cooperative Work & Social Computing	49	A1
CVPR	IEEE Conference on Computer Vision and Pattern Recognition	140	A1
DAC	Design Automation Conference	43	A1
DATE	Design, Automation and Test in Europe Conference and Exhibition	39	A1
DSN	Annual IEEE/IFIP International Conference on Dependable Systems and Networks	28	A1
ECML	European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases	30	A1
ECRTS	Euromicro Conference on Real-Time Systems	29	A1
EDBT	International Conference on Extending Database Technology	31	A1
EMNLP	Conference on Empirical Methods in Natural Language Processing	55	A1
ESEC	Joint Meeting on European Software Engineering Conference and Foundations of Software Engineering	41	A1
ESWS	European Semantic Web Conference	34	A1
EUROPAR	European Conference on Parallel Computing	27	A1
EUROSYS	European Conference on Computer Systems	38	A1
FGR	IEEE International Conference on Automatic Face and Gesture Recognition	37	A1
FUSION	International Conference on Information Fusion	29	A1
GECCO	Genetic and Evolutionary Computation Conference	30	A1
GLOBECOM	IEEE Global Communications Conference	45	A1
HICSS	Hawaii International Conference on System Sciences	39	A1
HLT	International Conference Baltic Human Language Technology	35	A1
HOTNETS	ACM Workshop on Hot Topics in Networks	27	A1
HPCA	IEEE  International Symposium on High Performance Computer Architecture	42	A1
HPDC	International Symposium on High Performance Distributed Computing	29	A1
ICC	IEEE International Conference on Communications	48	A1
ICCAD	IEEE/ACM International Conference on ComputerAided Design	28	A1
ICCS	International Conference on Computational Science	37	A1
ICDAR	International Conference on Document Analysis and Recognition	31	A1
ICDCS	International Conference on Distributed Computing Systems	38	A1
ICDE	IEEE International Conference on Data Engineering	52	A1
ICDM	IEEE International Conference on Data Mining	39	A1
ICIP	IEEE International Conference on Image Processing	35	A1
ICIS	International Conference on Computer and Information Science	27	A1
ICML	International Conference on Machine Learning	76	A1
ICMR	ACM International Conference on Multimedia Information Retrieval 	28	A1
ACMICN	ACM International Conference on Information-Centric Networking	29	A1
ICPP	International Conference on Parallel Processing	29	A1
ICSE	International Conference on Software Engineering	63	A1
ICSM	IEEE International Conference on Software Maintenance and Evolution	27	A1
ICWSM	International AAAI Conference on Weblogs and Social Media	60	A1
IEEECLOUD	IEEE International Conference on Cloud Computing 	43	A1
IJCAI	International Joint Conference on Artificial Intelligence	55	A1
IJCNN	IEEE International Joint Conference on Neural Networks	27	A1
IMC	ACM Internet Measurement Conference	45	A1
INFOCOM	IEEE International Conference on Computer Communications	80	A1
INTERSPEECH	Conference of the International Speech Communication Association	44	A1
IPDPS	IEEE International Parallel & Distributed Processing Symposium	41	A1
IPSN	International Conference on Information Processing in Sensor Networks	33	A1
