ds_sigla	no_titulo	no_estrato
AAAI	Conference on Artificial Intelligence	A1
AAMAS	International Conference on Autonomous Agents and Multiagent Systems	A1
ACL	Annual Meeting of the Association for Computational Linguistics	A1
ACMSOCC	ACM Symposium on Cloud Computing	A1
ALLERTON	Allerton Conference on Communication, Control, and Computing	A1
ASE	IEEE/ACM International Conference on Automated Software Engineering	A1
ASIACRYPT	Annual International Conference on the Theory and Applications of Cryptology and Information Security	A1
ASPLOS	International Conference on Architectural Support for Programming Languages and Operating Systems	A1
BMVC	British Machine Vision Conference	A1
CCGRID	IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing	A1
CCS	ACM Symposium on Information, Computer and Communications Security	A1
CEC	IEEE Congress on Evolutionary Computation	A1
CHES	Conference on Cryptographic Hardware and Embedded Systems	A1
CHI	ACM Conference on Human Factors in Computing Systems	A1
CIKM	ACM International Conference on Information and Knowledge Management	A1
CloudCom	IEEE International Conference on Cloud Computing Technology and Science	A1
CONEXT	Conference on Emerging Network Experiment and Technology	A1
CSCW	ACM Conference on Computer Supported Cooperative Work & Social Computing	A1
CVPR	IEEE Conference on Computer Vision and Pattern Recognition	A1
DAC	Design Automation Conference	A1
DATE	Design, Automation and Test in Europe Conference and Exhibition	A1
DSN	Annual IEEE/IFIP International Conference on Dependable Systems and Networks	A1
ECCV	European Conference on Computer Vision	A1
ECML	European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases	A1
ECRTS	Euromicro Conference on Real-Time Systems	A1
EDBT	International Conference on Extending Database Technology	A1
EMNLP	Conference on Empirical Methods in Natural Language Processing	A1
ESWS	European Semantic Web Conference	A1
EUROPAR	European Conference on Parallel Computing	A1
EUROSYS	European Conference on Computer Systems	A1
FGR	IEEE International Conference on Automatic Face and Gesture Recognition	A1
FSE/ESEC	Joint Meeting on European Software Engineering Conference and Foundations of Software Engineering	A1
FUSION	International Conference on Information Fusion	A1
GECCO	Genetic and Evolutionary Computation Conference	A1
GIS	ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems	A1
GLOBECOM	IEEE Global Communications Conference	A1
HICSS	Hawaii International Conference on System Sciences	A1
HLT	International Conference Baltic Human Language Technology	A1
HOTNETS	ACM Workshop on Hot Topics in Networks	A1
HPCA	IEEE International Symposium on High Performance Computer Architecture	A1
